Column Header,Row header,Row name,CATEGORY,TEMPLATE,FREQUENCY,MODELCD,MODELDESC,TIMEZONE,SUPPLIERCD,SUPPLIERDESC,PERIODCD,BASECURRCD,BASECURRDESC,UNITSCD,UNITSDESC,PRODUCTCD,PRODUCTDESC,COMMODITY,PRODUCT,MARKETBASIS,QUOTECAL,DEFAULT PROFILE,SRC_CATEG,PROD_CATEG,PROD_SUB_CATEG,REGIONDESC,REGIONCD,COUNTRYDESC,COUNTRYCD,KPI,KPI_SUB_CATEG,ACTUAL_FORECAST
China HDPE (Thousand Metric Tons),Destination,Hong Kong,IHS_CH_TRADE,IHS_CH,MONTHLY,EU.CH.IHS.HDPE_TRADE_CN_HK.EXPORTS.MONTHLY,IHS China HDPE Export Trades Hong Kong Monthly,CET,IHS,IHS,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,HDPE TRADES,CHINA,HUSA,VOL,PACKAGING,Polyethylene,HDPE,Northeast Asia,NEAS,China,CN,Exports,Hong Kong,Actual
China HDPE (Thousand Metric Tons),Destination,Thailand,IHS_CH_TRADE,IHS_CH,MONTHLY,EU.CH.IHS.HDPE_TRADE_CN_TH.EXPORTS.MONTHLY,IHS China HDPE Export Trades Thailand Monthly,CET,IHS,IHS,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,HDPE TRADES,CHINA,HUSA,VOL,PACKAGING,Polyethylene,HDPE,Northeast Asia,NEAS,China,CN,Exports,Thailand,Actual
China HDPE (Thousand Metric Tons),Destination,North Korea,IHS_CH_TRADE,IHS_CH,MONTHLY,EU.CH.IHS.HDPE_TRADE_CN_KP.EXPORTS.MONTHLY,IHS China HDPE Export Trades North Korea Monthly,CET,IHS,IHS,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,HDPE TRADES,CHINA,HUSA,VOL,PACKAGING,Polyethylene,HDPE,Northeast Asia,NEAS,China,CN,Exports,North Korea,Actual
China HDPE (Thousand Metric Tons),Destination,South Korea,IHS_CH_TRADE,IHS_CH,MONTHLY,EU.CH.IHS.HDPE_TRADE_CN_KR.EXPORTS.MONTHLY,IHS China HDPE Export Trades South Korea Monthly,CET,IHS,IHS,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,HDPE TRADES,CHINA,HUSA,VOL,PACKAGING,Polyethylene,HDPE,Northeast Asia,NEAS,China,CN,Exports,South Korea,Actual
China HDPE (Thousand Metric Tons),Destination,Malaysia,IHS_CH_TRADE,IHS_CH,MONTHLY,EU.CH.IHS.HDPE_TRADE_CN_MY.EXPORTS.MONTHLY,IHS China HDPE Export Trades Malaysia Monthly,CET,IHS,IHS,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,HDPE TRADES,CHINA,HUSA,VOL,PACKAGING,Polyethylene,HDPE,Northeast Asia,NEAS,China,CN,Exports,Malaysia,Actual
China HDPE (Thousand Metric Tons),Destination,Indonesia,IHS_CH_TRADE,IHS_CH,MONTHLY,EU.CH.IHS.HDPE_TRADE_CN_ID.EXPORTS.MONTHLY,IHS China HDPE Export Trades Indonesia Monthly,CET,IHS,IHS,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,HDPE TRADES,CHINA,HUSA,VOL,PACKAGING,Polyethylene,HDPE,Northeast Asia,NEAS,China,CN,Exports,Indonesia,Actual
China HDPE (Thousand Metric Tons),Destination,Peru,IHS_CH_TRADE,IHS_CH,MONTHLY,EU.CH.IHS.HDPE_TRADE_CN_PE.EXPORTS.MONTHLY,IHS China HDPE Export Trades Peru Monthly,CET,IHS,IHS,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,HDPE TRADES,CHINA,HUSA,VOL,PACKAGING,Polyethylene,HDPE,Northeast Asia,NEAS,China,CN,Exports,Peru,Actual
China HDPE (Thousand Metric Tons),Destination,Angola,IHS_CH_TRADE,IHS_CH,MONTHLY,EU.CH.IHS.HDPE_TRADE_CN_AO.EXPORTS.MONTHLY,IHS China HDPE Export Trades Angola Monthly,CET,IHS,IHS,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,HDPE TRADES,CHINA,HUSA,VOL,PACKAGING,Polyethylene,HDPE,Northeast Asia,NEAS,China,CN,Exports,Angola,Actual
China HDPE (Thousand Metric Tons),Destination,Ghana,IHS_CH_TRADE,IHS_CH,MONTHLY,EU.CH.IHS.HDPE_TRADE_CN_GH.EXPORTS.MONTHLY,IHS China HDPE Export Trades Ghana Monthly,CET,IHS,IHS,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,HDPE TRADES,CHINA,HUSA,VOL,PACKAGING,Polyethylene,HDPE,Northeast Asia,NEAS,China,CN,Exports,Ghana,Actual
China HDPE (Thousand Metric Tons),Destination,Pakistan,IHS_CH_TRADE,IHS_CH,MONTHLY,EU.CH.IHS.HDPE_TRADE_CN_PK.EXPORTS.MONTHLY,IHS China HDPE Export Trades Pakistan Monthly,CET,IHS,IHS,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,HDPE TRADES,CHINA,HUSA,VOL,PACKAGING,Polyethylene,HDPE,Northeast Asia,NEAS,China,CN,Exports,Pakistan,Actual
