Column Header,Row header,CATEGORY,TEMPLATE,FREQUENCY,ACTUAL_FORECAST,MODELCD,MODELDESC,TIMEZONE,SUPPLIERCD,SUPPLIERDESC,HUBCD,HUBDESC,PERIODCD,BASECURRCD,BASECURRDESC,UNITSCD,UNITSDESC,PRODUCTCD,PRODUCTDESC,COMMODITY,PRODUCT,MARKETBASIS,QUOTECAL,DEFAULT PROFILE,SRC_CATEG,PROD_CATEG,PROD_SUB_CATEG,REGIONDESC,REGIONCD,COUNTRYDESC,COUNTRYCD,KPI,KPI_SUB_CATEG
Northeast Asia LDPE Quarterly Supply/Demand,Nameplate,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_NPC_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Supply Nameplate,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Supply,Nameplate
Northeast Asia LDPE Quarterly Supply/Demand,Nameplate,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_NPC_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Supply Nameplate Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Supply,Nameplate
Northeast Asia LDPE Quarterly Supply/Demand,Operating Rate (%),IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_OPRT_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Supply Operating Rate (%),CET,IHS,IHS,EU,Europe,SPOT,,,PCT,Percentage,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Supply,Operating Rate (%)
Northeast Asia LDPE Quarterly Supply/Demand,Operating Rate (%),IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_OPRT_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Supply Operating Rate (%) Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,PCT,Percentage,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Supply,Operating Rate (%)
Northeast Asia LDPE Quarterly Supply/Demand,Production,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_PRD_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Supply Production,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Supply,Production
Northeast Asia LDPE Quarterly Supply/Demand,Production,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_PRD_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Supply Production Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Supply,Production
Northeast Asia LDPE Quarterly Supply/Demand,Imports,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_IMP_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Supply Imports,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Supply,Imports
Northeast Asia LDPE Quarterly Supply/Demand,Imports,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_IMP_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Supply Imports Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Supply,Imports
Northeast Asia LDPE Quarterly Supply/Demand,Total Supply,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_TSP_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Supply Total Supply,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Supply,Total Supply
Northeast Asia LDPE Quarterly Supply/Demand,Total Supply,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_TSP_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Supply Total Supply Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Supply,Total Supply
Northeast Asia LDPE Quarterly Supply/Demand,Film & Sheet,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_FS_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Demand Film & Sheet,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Film & Sheet
Northeast Asia LDPE Quarterly Supply/Demand,Film & Sheet,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_FS_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Demand Film & Sheet Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Film & Sheet
Northeast Asia LDPE Quarterly Supply/Demand,Injection Molding,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_INJM_NEAS.QUARTERLY,IHS Northeast Asia LDPE Market Quarterly Demand Injection Molding,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,VOL,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Injection Molding
Northeast Asia LDPE Quarterly Supply/Demand,Injection Molding,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_INJM_NEAS.QUARTERLY.FORECAST,IHS Northeast Asia LDPE Market Quarterly Demand Injection Molding Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,NORTHEAST ASIA,,CURVE,PACKAGING,Polyethylene,LDPE,Northeast Asia,NEAS,,,Demand,Injection Molding
