Column Header,Row header,CATEGORY,TEMPLATE,FREQUENCY,ACTUAL_FORECAST,MODELCD,MODELDESC,TIMEZONE,SUPPLIERCD,SUPPLIERDESC,HUBCD,HUBDESC,PERIODCD,BASECURRCD,BASECURRDESC,UNITSCD,UNITSDESC,PRODUCTCD,PRODUCTDESC,COMMODITY,PRODUCT,MARKETBASIS,QUOTECAL,DEFAULT PROFILE,SRC_CATEG,PROD_CATEG,PROD_SUB_CATEG,REGIONDESC,REGIONCD,COUNTRYDESC,COUNTRYCD,KPI,KPI_SUB_CATEG
West Europe - Quarterly LDPE Balance,Nameplate Capacity,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_NPC_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Supply Nameplate Capacity,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,Nameplate Capacity
West Europe - Quarterly LDPE Balance,Nameplate Capacity,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_NPC_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Supply Nameplate Capacity Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,Nameplate Capacity
West Europe - Quarterly LDPE Balance,Nameplate Operating Rate (%),IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_NOR_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Supply Nameplate Operating Rate (%),CET,IHS,IHS,EU,Europe,SPOT,,,PCT,Percentage,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,Nameplate Operating Rate (%)
West Europe - Quarterly LDPE Balance,Nameplate Operating Rate (%),IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_NOR_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Supply Nameplate Operating Rate (%) Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,PCT,Percentage,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,Nameplate Operating Rate (%)
West Europe - Quarterly LDPE Balance,Production,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_PRD_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Supply Production,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,Production
West Europe - Quarterly LDPE Balance,Production,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_PRD_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Supply Production Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,Production
West Europe - Quarterly LDPE Balance,Imports,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_IMP_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Supply Imports,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,Imports
West Europe - Quarterly LDPE Balance,Imports,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_IMP_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Supply Imports Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,Imports
West Europe - Quarterly LDPE Balance,Total Supply,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_TSP_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Supply Total Supply,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,Total Supply
West Europe - Quarterly LDPE Balance,Total Supply,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_TSP_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Supply Total Supply Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Supply,Total Supply
West Europe - Quarterly LDPE Balance,Film & Sheet,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_FS_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Film & Sheet,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Film & Sheet
West Europe - Quarterly LDPE Balance,Film & Sheet,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_FS_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Film & Sheet Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Film & Sheet
West Europe - Quarterly LDPE Balance,Injection Molding,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_INJM_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Injection Molding,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Injection Molding
West Europe - Quarterly LDPE Balance,Injection Molding,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_INJM_WE.QUARTERLY.FORECAST,IHS West Europe LDPE Market Quarterly Demand Injection Molding Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,CURVE,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Injection Molding
West Europe - Quarterly LDPE Balance,Wire and Cable,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_WC_WE.QUARTERLY,IHS West Europe LDPE Market Quarterly Demand Wire and Cable,CET,IHS,IHS,EU,Europe,SPOT,,,TMT,Thousand Metric Tons,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,WEST EUROPE,,VOL,PACKAGING,Polyethylene,LDPE,West Europe,WE,,,Demand,Wire and Cable
