Column Header,Row header,CATEGORY,TEMPLATE,FREQUENCY,ACTUAL_FORECAST,MODELCD,MODELDESC,TIMEZONE,SUPPLIERCD,SUPPLIERDESC,HUBCD,HUBDESC,PERIODCD,BASECURRCD,BASECURRDESC,UNITSCD,UNITSDESC,PRODUCTCD,PRODUCTDESC,COMMODITY,PRODUCT,MARKETBASIS,QUOTECAL,DEFAULT PROFILE,SRC_CATEG,PROD_CATEG,PROD_SUB_CATEG,REGIONDESC,REGIONCD,COUNTRYDESC,COUNTRYCD,KPI,KPI_SUB_CATEG
United States/Canada LDPE Quarterly Supply/Demand,Nameplate Capacity,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_NPC_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Supply Nameplate Capacity,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Supply,Nameplate Capacity
United States/Canada LDPE Quarterly Supply/Demand,Nameplate Capacity,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_NPC_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Supply Nameplate Capacity Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Supply,Nameplate Capacity
United States/Canada LDPE Quarterly Supply/Demand,Operating Rates (%),IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_OPRT_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Supply Operating Rates,CET,IHS,IHS,EU,Europe,SPOT,,,PCT,Percentage,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Supply,Operating Rates
United States/Canada LDPE Quarterly Supply/Demand,Operating Rates (%),IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_OPRT_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Supply Operating Rates Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,PCT,Percentage,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Supply,Operating Rates
United States/Canada LDPE Quarterly Supply/Demand,Production,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_PRD_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Supply Production,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Supply,Production
United States/Canada LDPE Quarterly Supply/Demand,Production,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_PRD_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Supply Production Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Supply,Production
United States/Canada LDPE Quarterly Supply/Demand,Imports,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_IMP_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Supply Imports,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Supply,Imports
United States/Canada LDPE Quarterly Supply/Demand,Imports,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_IMP_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Supply Imports Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Supply,Imports
United States/Canada LDPE Quarterly Supply/Demand,Total Supply,IHS_CH_SUP_DEM,IHS_CH,QUARTERLY,Actual,EU.CH.IHS.LDPE_TSP_US_CA.QUARTERLY,IHS US and Canada LDPE Market Quarterly Total Supply,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,VOL,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Supply,Total Supply
United States/Canada LDPE Quarterly Supply/Demand,Total Supply,IHS_CH_SUP_DEM,IHS_CH,MONTHLY,Forecast,EU.CH.IHS.LDPE_TSP_US_CA.QUARTERLY.FORECAST,IHS US and Canada LDPE Market Quarterly Total Supply Forecast,CET,IHS,IHS,EU,Europe,SPOT,,,MMLB,Million Pound,CH,CHEMICALS,CHEMICALS,LDPE MARKET SUMMARY,US-CANADA,HUSA,CURVE,PACKAGING,Polyethylene,LDPE,North America,NA,US-Canada,US-CA,Supply,Total Supply
